id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
2487185,Beautiful!! Just Minutes from Downtown!  Hot Tub!,4706233,Jeffrey,,Athmar Park,39.7038,-105.0116,Entire home/apt,199,3,16,2021-07-09,0.30,3,235,4,2019-BFN-0011743
2599115,Brand New Modern Stapleton Home,10128382,Kerry,,Stapleton,39.75778,-104.85861,Entire home/apt,243,2,164,2021-10-24,1.75,1,362,24,2017-BFN-0001227
2653512,Amazing Guesthouse-Perfect Lohi/Highland Location,5817350,Marcie,,Highland,39.76382,-105.01973,Entire home/apt,159,3,180,2021-12-19,2.17,1,162,23,2017-BFN-0001658
2723629,House on Stout: Mesa,1154806,Ellen,,Five Points,39.75362,-104.982498,Private room,81,2,204,2021-10-27,2.21,2,0,28,2021-BFN-0002011
2817786,Private Queen Room w Ensuite Bath,14414164,Mary,,Five Points,39.74687,-104.97561,Private room,74,29,146,2019-09-17,1.57,1,365,0,BFN-0000845  Jan 2017
2827887,Cozy Cottage in Lower Highlands 2BR,5181201,Danno & Rachel,,Highland,39.7682,-105.00232,Entire home/apt,150,30,20,2016-10-18,0.22,3,212,0,
2875696,"Cozy condo, 700 sq ft. near Lowry",14699024,Julie,,Windsor,39.70705,-104.8916,Entire home/apt,75,180,13,2020-08-08,0.14,1,278,0,
2908978,Peaceful Queen in Congress Park,9402581,Rita,,Congress Park,39.73396,-104.94702,Private room,60,29,204,2021-12-21,2.27,2,346,1,
2942068,Cozy Cottage in Lo Highlands Mr bed,5181201,Danno & Rachel,,Highland,39.76794,-105.00146,Private room,106,30,10,2016-09-11,0.11,3,212,0,
2953770,Amazing Condo - in Denver's heart,9236134,Mason,,CBD,39.74399,-104.99495,Entire home/apt,225,31,23,2017-06-11,0.25,1,88,0,346663-070051
2957097,Minutes from Downtown!  Beautifully Remodeled!,4706233,Jeffrey,,Athmar Park,39.70304,-105.01177,Entire home/apt,199,3,142,2021-11-14,1.55,3,235,20,2019-BFN-0011743
2960513,Historic 1800s townhouse @ downtown by Superhost,2544705,Gustavo,,Baker,39.72287,-104.995,Entire home/apt,69,30,86,2021-12-12,1.47,1,142,2,2017-BFN-0000613
2975710,Sloan's Lake Highlands Bungalow,15178224,Jennifer,,West Highland,39.75936,-105.04792,Entire home/apt,150,29,24,2021-12-15,0.27,1,129,7,
2979736,Large designer house near downtown!  Walk to all!,14178014,John,,Baker,39.72403,-104.99283,Entire home/apt,529,2,147,2021-11-12,1.59,4,0,23,2017-BFN-0000194
2998222,Quiet Kirk Street Vacation Rental,15283636,Dong,,Gateway - Green Valley Ranch,39.78271,-104.74694,Entire home/apt,315,30,51,2021-10-11,0.56,1,364,11,2016-BFN-0006681
3094167,In the Heart of Highlands -  Staycation Retreat!!!,8410190,Deanna,,West Highland,39.76169,-105.03382,Entire home/apt,133,30,35,2021-11-23,0.38,7,147,4,
3095906,"Seasonal Special -Sunny, Clean Room & Workspace",1655595,Shana,,Indian Creek,39.68931,-104.90138,Private room,49,29,35,2021-11-07,0.43,1,146,3,
3138055,Classic Home on Capitol Hill,15933305,Sarah,,Capitol Hill,39.73193,-104.97878,Entire home/apt,165,29,21,2021-01-03,0.50,1,53,1,2018-BFN-0004864
3150813,Modern Urban Oasis in Rino,135470,Mark,,Cole,39.77101,-104.96639,Entire home/apt,604,1,218,2021-12-16,2.39,1,359,26,2017-BFN-0001617
3231657,Authentic loft in Lodo across from Union Station,16356824,Claus,,Union Station,39.75363,-104.99947,Entire home/apt,190,29,37,2020-03-31,0.41,2,100,0,
3280778,Art Deco Boho close to everything!,16581953,Jeff,,Athmar Park,39.70719,-105.01878,Entire home/apt,279,1,1,2021-11-19,0.71,1,118,1,2021-BFN-0008876
3334447,"Gorgeous 2 BR, 2 BA Townhome!",16835411,Sarah,,Five Points,39.75049,-104.97555,Entire home/apt,176,3,95,2021-12-26,1.04,1,49,27,2019-BFN-0011425
3338717,Private basement apartment on park.,16853725,Nanci,,Rosedale,39.67652,-104.97801,Entire home/apt,93,2,118,2021-12-26,1.29,1,266,15,2016-BFN-0007960
3341556,1BD City Park Carriage House,16865529,Tim,,City Park West,39.74972,-104.97222,Entire home/apt,55,30,24,2021-12-15,0.27,2,121,3,
3404692,Modern Oasis Near RiNo Arts District,180156649,Jacob,,Whittier,39.7574,-104.96713,Entire home/apt,171,2,136,2021-12-20,1.50,1,165,30,2018-BFN-0001444
3458369,Carriage House-Highlands Square,12969161,Jamie,,West Highland,39.76178,-105.03885,Entire home/apt,170,30,255,2021-05-08,2.81,1,87,1,2016-BFN-0007778
3463164,"CountryClub home, Quiet, Safe, Gated, Exclusive",10105976,Mike And Molly,,Fort Logan,39.64468,-105.0653,Private room,77,31,12,2019-05-17,0.15,1,88,0,BFN-0003226
3479122,Unique 3-Level Loft in Famous Ballpark Neighborhood,17524202,Sam,,Five Points,39.75469,-104.98785,Entire home/apt,114,30,481,2020-06-02,5.28,1,0,0,2017-BFN-0001641
3495498,In Highlands w/Garage!,17599678,Mallory,,Highland,39.76889,-105.02156,Entire home/apt,207,29,134,2021-11-27,1.50,1,177,16,2018-BFN-0007942
3542624,Cowork in Bright Mod Downtown Home w/ Dual Offices,17833434,Claytonious,,Lincoln Park,39.73248,-104.99906,Entire home/apt,139,6,86,2021-07-10,0.96,1,133,2,2020-BFN-0001541
3562277,Newly remodeled ground level basement 3 BR,17831791,Michelle,,University,39.6631,-104.96774,Private room,125,31,10,2020-08-16,0.11,1,364,0,
3605358,Room/Bath in Historic Mansion,18168193,Georgia,,Capitol Hill,39.73308,-104.97996,Private room,115,29,173,2021-08-13,1.91,1,365,1,2020-BFN-0008849
3661135,Luxury Townhome with Rooftop Views,8059814,Nora,,Sunnyside,39.77339,-105.01183,Entire home/apt,218,2,21,2021-12-22,2.39,1,23,21,2020-BFN-0006445
3685552,"SkyView Loft, in Healing Center ~ 30 DAYS OR MORE",1313972,Heather,,City Park,39.74172,-104.95845,Entire home/apt,80,30,100,2021-12-12,1.13,2,228,5,
3760606,Highlands Hen House,2943530,Kodie,,Highland,39.76826,-105.01828,Entire home/apt,95,2,407,2021-11-28,4.52,1,291,65,2018-BFN-0000546
3799043,City Park Garden Level - 90 day plus,10010242,Jon,,Skyland,39.75805,-104.9581,Entire home/apt,63,89,144,2017-10-08,1.64,1,168,0,2017-BFN-0000088
3828739,Stunning Loft in Lodo w/ 1000sf private roof patio,16356824,Claus,,Union Station,39.75297,-104.99949,Entire home/apt,850,29,4,2021-03-31,0.04,2,303,1,
3829793,Modern 1 Bed / 1 Bath Apartment in Uptown,2537989,Kristin,,North Capitol Hill,39.74367,-104.97908,Entire home/apt,110,60,7,2021-05-31,0.08,1,257,2,
3960763,Your  Denver Get Away!  3 bedroom 2 bath house.,20525963,Julie,,Platt Park,39.68769,-104.98715,Entire home/apt,170,29,28,2019-07-08,0.32,1,364,0,344706-070051
4000181,Modern Loft in Union Station North/Downtown,20739244,Mark + Shahana,,Five Points,39.76011,-104.99781,Entire home/apt,130,30,13,2021-11-29,0.15,2,364,4,
4052272,The Spectrum Inn,18930052,Nikki & James,,Skyland,39.76146,-104.9503,Entire home/apt,73,3,162,2021-08-13,1.85,1,215,6,2017-BFN-0001623
4080404,Relax on City Park + Barrel Steam Sauna + Hot Tub,11706428,Aaron,,Skyland,39.75546,-104.95573,Entire home/apt,149,2,135,2021-12-11,4.34,1,60,58,2019-BFN-0008252
4121643,own bed and bath,21380104,Mik,,Windsor,39.70876,-104.89068,Private room,40,90,15,2021-10-09,0.17,1,130,2,
4121807,Beautiful home in Wash/Platt Park,5326121,Colby,,Platt Park,39.69036,-104.98581,Private room,69,29,99,2020-08-09,1.12,1,246,0,2019-BFN-000113
4137490,40th Floor with Endless Mountain & City Views,860762,Corey & Heidi,,CBD,39.74458,-104.99588,Entire home/apt,190,30,9,2021-11-21,0.23,1,324,4,
4150242,Queen Anne Victorian in the Heart of Denver,772942,Anastacia,,Whittier,39.75661,-104.97199,Entire home/apt,473,2,54,2021-11-27,0.67,1,231,13,2021-BFN-0001767
4180622,Modern Guest House in Berkeley Lake,5416557,Maureen,,Berkeley,39.77658,-105.04629,Entire home/apt,150,30,239,2021-11-15,2.80,1,45,1,2019-BFN-0005323
4219371,"Newly Renovated 1890 Denver Queen Anne, sleeps 10",11054215,Dawn & Jacob,,Baker,39.71861,-104.99062,Entire home/apt,557,29,69,2021-08-08,0.85,1,66,11,2019-BFN-0006938
4236002,Modern Historic Carriage House in Central Denver,21982508,Jb,,North Park Hill,39.7524,-104.92175,Entire home/apt,149,2,430,2021-12-26,4.92,1,142,78,2017-BFN-0008411
4241536,Cozy-Cool Highlands Cottage,22009424,Carlos,,West Highland,39.76387,-105.03138,Entire home/apt,125,30,27,2021-09-13,0.31,1,305,4,
4288813,Historic & Fresh Home in RiNo,21152797,Hilary,,Five Points,39.75731,-104.98313,Entire home/apt,144,30,418,2021-12-06,4.77,1,36,6,30 Plus Day Rentals Only
4294257,Full of Character AND Comfortable !,22292048,Travis,,Congress Park,39.73975,-104.94838,Entire home/apt,134,1,410,2021-12-19,4.69,1,68,57,2016-BFN-0008410
4295637,Living Room For Rent in 1 BR Apt,22299710,Al,,West Colfax,39.74034,-105.02864,Private room,60,29,0,,,1,0,0,
